timesteps,reward
54312,-242.75000000000006
54544,-149.0000000000002
54688,-158.35000000000016
54752,-119.75000000000021
54944,-55.750000000000036
55224,-287.6499999999996
55256,-37.74999999999997
55472,-23.19999999999999
55648,-138.3000000000001
55760,-27.40000000000005
56144,-137.15000000000015
56248,-118.90000000000022
56656,-48.10000000000003
56688,-159.25000000000006
56784,-83.7500000000001
56856,-148.65000000000015
57160,-257.20000000000005
57408,-201.54999999999967
57472,-52.35000000000001
57640,-20.69999999999999
57808,-56.099999999999994
57944,-25.799999999999986
58080,-184.84999999999948
58184,-279.4999999999993
58256,-145.04999999999998
58432,-50.14999999999999
58496,-33.14999999999997
58664,-42.95000000000001
59280,-46.15000000000004
59456,-69.2
59520,-79.30000000000004
59680,-137.25000000000009
59744,-194.24999999999986
59880,-144.6999999999999
60120,-153.20000000000016
60264,-163.6000000000001
60480,-71.44999999999999
60544,-35.99999999999997
60768,-60.95000000000004
60880,-154.6000000000001
61048,-34.549999999999976
61144,-34.649999999999984
61280,-183.85000000000016
61504,-36.49999999999998
61816,-265.1499999999994
62168,-51.70000000000004
62288,-26.449999999999974
62344,-69.50000000000009
62480,-166.70000000000002
62704,-232.5500000000001
62776,-104.10000000000008
62816,-301.5499999999998
63464,-96.25000000000011
63728,-86.75000000000018
63752,-192.50000000000009
63776,-67.30000000000011
63840,-67.25000000000001
64224,-179.9000000000001
64280,-199.84999999999957
64368,2.1500000000000057
64712,-251.29999999999964
64760,-86.15000000000009
64936,2.4499999999999993
65072,-79.95000000000014
65352,-132.65000000000018
65392,-41.74999999999998
65440,-134.6000000000002
65520,-93.40000000000012
65720,-25.499999999999982
65784,-57.349999999999994
66096,-46.599999999999994
66136,-30.999999999999993
66304,-28.449999999999985
66464,-36.39999999999997
66648,-204.5499999999996
66688,-204.24999999999963
66808,-75.00000000000006
66920,-30.149999999999988
67088,-23.05
